Bill_Number,Date,Item_Name,Item_Type,Item_Category,Color_Name,Salesman_Name,Size,Rate,Disc_Amt,Sales_Type,Final_Sales 
1723,2026-01-01,COTTON TROUSERS AF,Trouser,Casual Wear,CREAM,DEEPAK AHUJA,34,1399,0,Sales,1399
1723,2026-01-01,UC SHIRTS,Shirt,Formal Wear, ,DEEPAK AHUJA,L,1199,0,Sales,1199
1723,2026-01-01,SHORTS,Shorts,Casual Wear,C,DEEPAK AHUJA,34,999,0,Sales,999
1723,2026-01-01,SHORTS,Shorts,Casual Wear,A,DEEPAK AHUJA,L,899,0,Sales,899
1723,2026-01-01,SHIRT,Shirt,Formal Wear,B,DEEPAK AHUJA,L,1390,0,Sales,1390
1724,2026-01-01,SEMI INDO WESTERN VR,Semi-Indo Western,Ethnic Wear, ,PRAVIN BHAI,42,12990,0,Sales,12967
1724,2026-01-01,KURTA SUIT SC,Kurta Set,Ethnic Wear,PARROT GREEN,PRAVIN BHAI,44,4390,0,Sales,4382
1724,2026-01-01,KOTI SUIT,Koti,Ethnic Wear,RANI PINK,PRAVIN BHAI,42,4590,0,Sales,4582
1724,2026-01-01,KURTA SUIT SC,Kurta Set,Ethnic Wear,WHITE,PRAVIN BHAI,44,4390,0,Sales,4382
1724,2026-01-01,PESHAWARI CFU,Peshawari,Ethnic Wear, ,PRAVIN BHAI,0,1290,0,Sales,1288
1724,2026-01-01,FASTRACK PULSE FOR HIM,Track Pant,Lounge Wear, ,PRAVIN BHAI, ,895,895,Sales,0
1725,2026-01-01,KURTA SUIT SE,Kurta Set,Ethnic Wear,WINE,PRAVIN BHAI,40,1990,0,Sales,1990
1725,2026-01-01,KURTA SUIT OE,Kurta Set,Ethnic Wear,PEACOCK,PRAVIN BHAI,40,3490,0,Sales,3490
1726,2026-01-01,KURTA SANTOSH,Kurta,Ethnic Wear,OLIVE,SACHIN BHAI,40,790,0,Sales,790
1726,2026-01-01,KURTA SANTOSH,Kurta,Ethnic Wear,RAMA BLUE,SACHIN BHAI,42,840,0,Sales,840
1726,2026-01-01,KURTA SUIT A,Kurta Set,Ethnic Wear,C,SACHIN BHAI,40,1999,0,Sales,1999
1727,2026-01-01,KURTA SUIT SC,Kurta Set,Ethnic Wear,RED        ,DEEPAK AHUJA,38,2390,0,Sales,2390
1727,2026-01-01,A KURTA SUIT,Kurta Set,Ethnic Wear,PINK,DEEPAK AHUJA,36,2690,0,Sales,2690
1728,2026-01-01,KURTA SUIT VR,Kurta Set,Ethnic Wear,L PURPLE,DEEPAK AHUJA,42,5490,0,Sales,5490
1728,2026-01-01,KURTA SUIT VR,Kurta Set,Ethnic Wear,MEHENDI,DEEPAK AHUJA,42,5290,0,Sales,5290
1728,2026-01-01,KURTA SUIT S,Kurta Set,Ethnic Wear,ORANGE,DEEPAK AHUJA,40,1390,0,Sales,1390
1728,2026-01-01,COTTON HANKIES,Hankies,Accessories,-,DEEPAK AHUJA,0,240,240,Sales,0
1729,2026-01-02,J SOCKS,Socks,Accessories,-,CREATION FOR U,0,239,0,Sales,239
1730,2026-01-02,COTTON HANKIES,Hankies,Accessories,,CREATION FOR U,0,240,0,Sales,240
1730,2026-01-02,J SOCKS,Socks,Accessories,-,CREATION FOR U,0,189,22,Sales,167
1730,2026-01-02,J SOCKS,Socks,Accessories,-,CREATION FOR U,FS,139,16,Sales,123
1731,2026-01-02,KURTA SUIT SG,Kurta Set,Ethnic Wear,MEHENDI,PRAVIN BHAI,50,2590,0,Sales,2590
1731,2026-01-02,KURTA S,Kurta,Ethnic Wear,ORANGE,PRAVIN BHAI,50,1540,0,Sales,1540
1732,2026-01-02,KURTA SUIT SG,Kurta Set,Ethnic Wear,MULTICOLOUR,SACHIN BHAI,36,1490,200,Sales,1290
1732,2026-01-02,KIDS KURTA,Kids Kurta,Kids Wear,MULTI COLOUR,SACHIN BHAI,10,-890,0,Return,-890
1733,2026-01-02,KURTA SET KYM,Kurta Set,Ethnic Wear,RANI,SACHIN BHAI,38,8490,0,Sales,8490
1734,2026-01-02,KURTA SUIT VR,Kurta Set,Ethnic Wear,GAJARI,SACHIN BHAI,40,5290,0,Sales,5290
1735,2026-01-03,INDO WESTERN SP,Indo Western,Ethnic Wear,WHITE,SACHIN BHAI,42,8890,0,Sales,8890
1735,2026-01-03,KURTA SUIT SG,Kurta Set,Ethnic Wear,YELLOW,SACHIN BHAI,46,2790,0,Sales,2790
1736,2026-01-03,KURTA SUIT SC,Kurta Set,Ethnic Wear,BLUE,PRAVIN BHAI,40,4290,490,Sales,3800
1737,2026-01-03,KURTA S,Kurta,Ethnic Wear,ORANGE,SACHIN BHAI,44,1240,0,Sales,1178
1737,2026-01-03,KURTA,Kurta,Ethnic Wear,Y 1,SACHIN BHAI,44,1340,0,Sales,1273
1737,2026-01-03,KURTA S,Kurta,Ethnic Wear,ORANGE,SACHIN BHAI,44,1240,0,Sales,1178
1738,2026-01-04,KURTA SANTOSH,Kurta,Ethnic Wear,P BLUE,PRAVIN BHAI,44,840,0,Sales,840
1739,2026-01-04,A KURTA SUIT,Kurta Set,Ethnic Wear,P,DEEPAK AHUJA,42,1499,0,Sales,1499
1740,2026-01-04,TRACK PANT J,Track Pant,Lounge Wear,BLUE & NAVY,PRAVIN BHAI,M,999,0,Sales,900
1740,2026-01-04,JOCKEY SPORTS MENS,Track Pant,Lounge Wear,BLACK,PRAVIN BHAI,M,1049,0,Sales,945
1741,2026-01-04,LENGHA CFU,Lengha,Ethnic Wear,WHITE,PRAVIN BHAI,XXL,750,0,Sales,750
1741,2026-01-04,KURTA SANTOSH,Kurta,Ethnic Wear,WHITE,PRAVIN BHAI,42,890,0,Sales,890
1742,2026-01-04,KURTA SUIT S,Kurta Set,Ethnic Wear,CREAM,SACHIN BHAI,38,1990,200,Sales,1790
1742,2026-01-04,MENS VEST COAT,Koti,Ethnic Wear,CREAM,SACHIN BHAI,38,1790,0,Sales,1790
1743,2026-01-04,KURTA SUIT VR,Kurta Set,Ethnic Wear,MUSTARD,DEEPAK AHUJA,42,1799,0,Sales,1799
1744,2026-01-06,KURTA SANTOSH,Kurta,Ethnic Wear,RAMA BLUE,SACHIN BHAI,42,840,0,Sales,840
1744,2026-01-06,POLO PENT CFU,Polo Pant,Ethnic Wear,CREAM,SACHIN BHAI,44,690,0,Sales,690
1745,2026-01-06,A KURTA SUIT,Kurta Set,Ethnic Wear,A,PRAVIN BHAI,38,1899,200,Sales,1444
1745,2026-01-06,POLO PENT CFU,Polo Pant,Ethnic Wear,WHITE,PRAVIN BHAI,L,890,0,Sales,756
